region,pohlavie,typ_skupiny,skupina,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Slovenská republika,Muži,vek,15-24,13.5,16.9,19.5,16.8,17.6,18.2,15.0,17.0,22.5,25.6,33.3,39.1,47.3,48.2,47.3,51.0,42.9,29.1,34.0,45.2,55.7
Slovenská republika,Ženy,vek,15-24,7.5,10.4,8.8,11.4,11.8,12.0,12.1,11.3,15.9,20.2,22.0,23.6,25.8,27.4,28.3,31.7,26.9,21.8,24.9,34.6,39.8
Slovenská republika,Muži,vek,25-34,20.5,19.7,21.3,23.7,27.2,26.4,25.8,27.6,34.1,36.8,41.9,64.6,64.6,58.6,63.2,66.6,51.3,37.0,39.3,45.4,57.9
Slovenská republika,Ženy,vek,25-34,18.8,18.8,18.8,19.0,20.3,20.4,17.6,23.4,27.6,35.2,42.2,47.1,52.5,56.5,46.8,45.4,42.8,38.3,41.6,45.5,55.5
Slovenská republika,Muži,vek,35-44,19.7,14.1,20.7,23.1,26.5,25.6,20.3,21.0,28.5,28.2,33.7,34.0,38.4,40.0,36.3,40.0,33.3,23.7,30.9,38.2,46.7
Slovenská republika,Ženy,vek,35-44,19.5,23.0,24.0,22.9,24.7,26.6,18.2,22.8,25.4,33.0,41.5,39.1,41.2,36.6,38.6,45.2,37.3,32.5,35.0,41.5,50.4
Slovenská republika,Muži,vek,45-54,12.7,12.8,14.2,13.0,14.2,14.4,14.0,17.1,21.7,24.0,29.4,35.3,38.2,34.7,36.3,37.5,31.9,25.8,27.7,36.5,45.8
Slovenská republika,Ženy,vek,45-54,16.6,16.0,15.8,18.6,20.6,16.1,14.5,17.2,23.0,26.9,34.2,36.0,38.0,36.4,35.7,41.3,36.7,33.1,40.2,46.4,50.6
Slovenská republika,Muži,vek,55+,8.4,7.0,8.8,10.5,11.9,9.9,8.7,9.7,12.2,17.9,17.2,20.6,21.9,22.3,20.4,17.9,11.3,9.3,11.6,14.1,17.7
Slovenská republika,Ženy,vek,55+,12.3,9.0,10.1,11.4,12.8,11.7,11.5,12.4,13.3,18.3,19.0,19.2,18.1,16.8,11.7,12.6,9.9,7.3,6.7,6.0,7.6
Slovenská republika,Muži,vzdelanie,Základné a bez vzdelania,24.4,24.5,23.3,23.8,24.2,21.1,29.7,27.3,28.1,25.4,32.6,39.6,36.7,39.3,37.4,38.8,34.3,36.9,43.6,51.6,61.0
Slovenská republika,Ženy,vzdelanie,Základné a bez vzdelania,20.5,25.6,21.7,25.2,23.4,18.6,20.3,20.8,22.5,24.1,28.4,29.0,30.4,31.4,29.6,33.7,32.0,35.0,42.0,48.2,55.2
Slovenská republika,Muži,vzdelanie,Nižšie stredné,21.0,20.7,30.0,28.4,32.9,30.1,24.6,32.0,41.4,51.2,59.7,84.2,92.7,91.4,91.8,94.8,73.5,52.1,63.9,82.2,103.2
Slovenská republika,Ženy,vzdelanie,Nižšie stredné,16.2,15.2,17.4,18.4,17.5,18.0,16.5,20.3,25.5,34.9,46.5,49.2,53.8,57.4,55.5,65.1,53.5,46.1,50.1,60.5,66.6
Slovenská republika,Muži,vzdelanie,Úplné stredné,21.4,19.5,25.2,27.0,31.3,32.3,22.1,25.0,39.5,42.3,48.8,56.2,65.0,59.0,62.3,65.2,54.7,29.5,30.7,40.6,50.5
Slovenská republika,Ženy,vzdelanie,Úplné stredné,26.6,25.3,27.5,27.5,34.8,35.4,26.4,32.9,39.9,53.1,62.7,64.5,69.5,64.4,59.5,64.7,58.5,43.8,47.6,58.1,73.7
