Pohlavie,Odvetvie,Rok,Hodnota
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2008,"7,2"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2009,"6,7"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2010,"9,5"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2011,"7,2"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2012,"7,0"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2013,"9,3"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2014,"8,7"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2015,"3,6"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2016,"3,9"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2017,"3,3"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2018,"2,7"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2019,"2,4"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2020,"2,8"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2021,"2,2"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2022,"2,0"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2023,"2,3"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2024,"1,8"
Muži,"A Poľnohospodárstvo, lesníctvo a rybolov",2025,"0,9"
Muži,B Ťažba a dobývanie,2008,"0,7"
Muži,B Ťažba a dobývanie,2009,"1,1"
Muži,B Ťažba a dobývanie,2010,"2,4"
Muži,B Ťažba a dobývanie,2011,"1,7"
Muži,B Ťažba a dobývanie,2012,"2,1"
Muži,B Ťažba a dobývanie,2013,"1,1"
Muži,B Ťažba a dobývanie,2014,"0,9"
Muži,B Ťažba a dobývanie,2015,"0,3"
Muži,B Ťažba a dobývanie,2016,"0,1"
Muži,B Ťažba a dobývanie,2017,"0,2"
Muži,B Ťažba a dobývanie,2018,"0,5"
Muži,B Ťažba a dobývanie,2019,-
Muži,B Ťažba a dobývanie,2020,-
Muži,B Ťažba a dobývanie,2021,"0,3"
Muži,B Ťažba a dobývanie,2022,"0,9"
Muži,B Ťažba a dobývanie,2023,"0,0"
Muži,B Ťažba a dobývanie,2024,"0,1"
